Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
20.313		27.8		-179.0		0.01		0.02		0.02		3.69		-0.006		-1.3		
20.410		34.7		-180.7		0.01		0.02		0.02		3.69		-0.004		-0.9		
20.508		37.7		-182.1		0.01		0.02		0.02		3.69		0.011		0.0		
20.605		44.7		-182.1		0.01		0.02		0.01		3.69		0.004		-0.4		
20.703		53.8		-185.6		0.01		0.02		0.02		3.69		-0.006		0.0		
20.801		56.4		-187.7		0.01		0.02		0.02		3.69		-0.002		-0.4		
20.898		62.4		-190.4		0.01		0.02		0.02		3.69		0.008		-0.4		
20.996		65.5		-189.9		0.01		0.02		0.01		3.69		-0.004		1.3		
21.094		72.4		-192.6		0.01		0.02		0.02		3.69		0.000		-0.9		
21.191		77.6		-191.7		0.01		0.01		0.02		3.69		-0.011		-0.4		
21.289		83.7		-190.8		0.01		0.02		0.01		3.68		0.002		-1.7		
21.387		85.4		-195.6		0.01		0.02		0.02		3.69		0.017		-0.4		
21.484		91.9		-193.9		0.01		0.02		0.02		3.69		0.008		1.7		
21.582		93.2		-194.7		0.01		0.02		0.01		3.68		0.008		0.9		
21.680		104.9		-189.1		0.02		0.02		0.02		0.02		0.364		84.1		
21.777		104.9		-193.0		0.02		0.03		0.02		0.02		0.370		87.1		
21.875		108.4		-194.3		0.02		0.02		0.02		0.02		0.364		80.6		
21.973		112.7		-196.5		0.02		0.02		0.02		0.02		0.345		77.1		
22.070		119.7		-194.7		0.02		0.02		0.02		0.02		0.326		75.4		
22.168		123.1		-192.6		0.02		0.02		0.02		0.02		0.319		69.8		
22.266		125.7		-193.4		0.02		0.02		0.02		0.02		0.309		68.0		
22.363		130.9		-191.7		0.02		0.02		0.02		0.02		0.271		60.7		
