Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E3		AI1		AI2		AI3		AI4		AI5		AI6		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		
25.293		188.2		185.5		3.69		0.01		0.02		0.02		3.69		0.01		
25.391		189.5		183.7		3.69		0.01		0.02		0.02		3.69		0.01		
25.488		187.3		184.2		3.69		0.01		0.02		0.02		3.69		0.01		
25.586		189.5		185.9		3.69		0.01		0.02		0.02		3.69		0.01		
25.684		189.5		182.0		3.69		0.01		0.01		0.02		3.69		0.01		
25.781		187.8		185.0		3.69		0.01		0.02		0.02		3.69		0.01		
25.879		181.7		181.6		3.69		0.01		0.02		0.03		3.69		0.01		
25.977		184.7		178.5		3.69		0.02		0.02		0.03		3.69		0.01		
26.074		177.8		176.4		3.69		0.01		0.02		0.03		3.69		0.01		
26.172		179.1		176.4		3.69		0.02		0.02		0.03		3.69		0.02		
26.270		176.0		172.0		3.69		0.02		0.02		0.02		3.69		0.01		
26.367		173.4		168.6		3.69		0.01		0.03		0.03		3.69		0.01		
26.465		168.7		164.2		3.69		0.01		0.02		0.02		3.69		0.01		
26.563		166.5		163.4		3.69		0.02		0.02		0.02		3.69		0.01		
26.660		161.3		159.0		3.69		0.02		0.02		0.03		3.69		0.01		
26.758		157.8		154.3		3.69		0.01		0.02		0.02		3.69		0.01		
26.855		153.1		150.8		3.69		0.02		0.02		0.03		3.69		0.01		
26.953		151.8		145.6		3.69		0.02		0.03		0.02		3.69		0.01		
27.051		147.0		141.7		3.70		0.01		0.02		0.02		3.69		0.01		
27.148		138.3		134.8		3.70		0.02		0.02		0.03		3.69		0.02		
27.246		135.3		133.9		3.69		0.01		0.03		0.03		3.69		0.02		
27.344		132.7		128.7		3.69		0.02		0.02		0.03		3.69		0.01		
27.441		127.5		124.8		3.69		0.01		0.02		0.03		3.69		0.01		
27.539		127.5		124.4		3.70		0.02		0.03		0.02		3.69		0.01		
27.637		122.7		117.4		3.69		0.02		0.02		0.02		3.69		0.02		
27.734		120.1		111.8		3.70		0.02		0.02		0.03		3.69		0.01		
27.832		111.4		111.4		3.69		0.02		0.03		0.02		3.69		0.01		
27.930		111.9		106.6		3.69		0.01		0.02		0.03		3.69		0.02		
28.027		107.1		104.4		3.69		0.02		0.02		0.03		3.69		0.01		
28.125		100.6		101.8		3.69		0.01		0.02		0.02		3.69		0.01		
28.223		99.3		95.3		3.69		0.01		0.02		0.02		3.69		0.01		
28.320		125.3		136.1		3.69		0.02		0.02		0.03		0.02		3.68		
28.418		86.3		186.3		3.69		0.01		0.02		0.02		0.02		3.69		
28.516		85.0		187.2		3.69		0.02		0.02		0.02		0.02		3.69		
28.613		80.7		186.3		3.69		0.01		0.02		0.02		0.02		3.69		
28.711		78.0		188.1		3.69		0.01		0.02		0.02		0.02		3.69		
28.809		76.3		187.6		3.69		0.01		0.02		0.02		0.02		3.69		
28.906		70.7		185.0		3.69		0.01		0.01		0.02		0.02		3.69		
29.004		65.5		183.3		3.69		0.02		0.02		0.02		0.02		3.69		
29.102		60.3		183.7		3.69		0.01		0.02		0.02		0.02		3.69		
29.199		54.6		180.7		3.69		0.01		0.02		0.02		0.02		3.69		
29.297		49.9		178.1		3.69		0.01		0.02		0.02		0.02		3.69		
29.395		40.3		175.9		3.69		0.01		0.02		0.02		0.02		3.69		
29.492		32.1		176.4		3.69		0.01		0.02		0.03		0.02		3.69		
29.590		26.4		172.5		3.69		0.01		0.02		0.02		0.02		3.68		
29.688		19.5		172.9		3.69		0.01		0.02		0.02		0.02		3.69		
29.785		9.1		166.4		3.69		0.01		0.02		0.02		0.02		3.69		
29.883		2.6		160.3		3.69		0.01		0.02		0.02		0.02		3.69		
29.980		-5.6		156.4		3.69		0.01		0.02		0.02		0.02		3.69		
30.078		-10.4		151.7		3.69		0.01		0.02		0.02		0.02		3.68		
30.176		-18.2		150.4		3.69		0.01		0.02		0.02		0.02		3.69		
30.273		-23.8		143.0		3.70		0.02		0.02		0.02		0.02		3.69		
30.371		-33.0		136.9		3.69		0.01		0.01		0.02		0.02		3.69		
30.469		-41.2		135.6		3.69		0.01		0.02		0.02		0.02		3.69		
30.566		-47.7		131.7		3.69		0.02		0.02		0.02		0.02		3.69		
30.664		-51.2		130.9		3.69		0.02		0.02		0.02		0.02		3.69		
30.762		-55.9		125.2		3.69		0.01		0.02		0.02		0.02		3.68		
30.859		-62.4		120.9		3.69		0.01		0.02		0.03		0.02		3.69		
30.957		-65.5		119.2		3.69		0.01		0.02		0.02		0.02		3.69		
31.055		-74.1		114.4		3.69		0.01		0.02		0.02		0.02		3.69		
31.152		-77.6		112.7		3.69		0.01		0.02		0.02		0.02		3.69		
31.250		-80.7		106.2		3.69		0.02		0.02		0.02		0.02		3.69		
31.348		-87.6		102.3		3.69		0.01		0.02		0.02		0.02		3.69		
31.445		-93.2		101.8		3.69		0.01		0.02		0.02		0.02		3.68		
31.543		-95.8		94.0		3.69		0.01		0.02		0.02		0.02		3.69		
31.641		-13.9		117.4		0.03		3.69		0.02		0.02		0.02		3.69		
31.738		-101.5		181.6		0.02		3.69		0.02		0.03		0.02		3.69		
31.836		-104.1		186.3		0.02		3.69		0.01		0.03		0.02		3.69		
31.934		-107.5		185.9		0.02		3.69		0.02		0.02		0.02		3.69		
32.031		-112.7		184.6		0.02		3.69		0.02		0.02		0.02		3.68		
32.129		-116.2		183.7		0.02		3.69		0.01		0.03		0.02		3.68		
32.227		-119.2		182.0		0.02		3.69		0.02		0.02		0.01		3.68		
32.324		-124.9		182.4		0.02		3.69		0.02		0.02		0.02		3.69		
32.422		-127.5		179.8		0.02		3.69		0.01		0.02		0.02		3.69		
32.520		-129.2		180.7		0.02		3.69		0.02		0.02		0.02		3.69		
32.617		-140.9		176.4		0.02		3.69		0.01		0.02		0.02		3.69		
32.715		-142.7		176.4		0.02		3.69		0.01		0.03		0.02		3.69		
32.813		-147.9		172.9		0.02		3.69		0.02		0.02		0.02		3.69		
32.910		-150.0		172.9		0.02		3.69		0.01		0.02		0.03		3.69		
33.008		-153.9		171.2		0.02		3.69		0.01		0.03		0.02		3.69		
33.105		-155.2		166.4		0.02		3.69		0.02		0.02		0.02		3.68		
33.203		-160.0		160.3		0.02		3.69		0.02		0.02		0.02		3.69		
33.301		-169.1		156.0		0.02		3.69		0.01		0.02		0.02		3.69		
33.398		-169.5		155.1		0.02		3.69		0.02		0.02		0.02		3.69		
33.496		-174.3		148.6		0.02		3.69		0.02		0.02		0.02		3.69		
33.594		-174.3		147.8		0.02		3.69		0.01		0.02		0.02		3.69		
33.691		-177.8		140.0		0.02		3.69		0.02		0.03		0.02		3.69		
33.789		-180.4		134.3		0.02		3.69		0.01		0.02		0.02		3.69		
33.887		-181.7		132.2		0.02		3.69		0.01		0.03		0.02		3.69		
33.984		-182.1		130.4		0.02		3.69		0.02		0.02		0.02		3.69		
34.082		-184.7		124.8		0.02		3.69		0.02		0.02		0.02		3.69		
34.180		-184.3		120.5		0.02		3.69		0.01		0.02		0.02		3.68		
34.277		-187.3		117.0		0.03		3.69		0.02		0.02		0.02		3.69		
34.375		-190.8		110.9		0.02		3.69		0.01		0.02		0.02		3.72		
34.473		-190.4		110.1		0.02		3.69		0.01		0.03		0.02		3.69		
34.570		-192.1		107.0		0.02		3.69		0.02		0.02		0.02		3.69		
34.668		-190.8		103.6		0.03		3.69		0.02		0.02		0.02		3.69		
34.766		-192.1		101.8		0.02		3.69		0.01		0.02		0.02		3.68		
34.863		-192.5		95.8		0.02		3.69		0.02		0.03		0.02		3.69		
34.961		-174.7		101.8		0.02		3.69		0.02		3.70		0.02		0.02		
35.059		-191.7		183.7		0.02		3.69		0.01		3.70		0.01		0.02		
35.156		-190.8		185.0		0.02		3.69		0.02		3.69		0.02		0.02		
