Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
14.746		-200.3		103.7		0.02		3.69		3.68		0.02		1.212		-104.0		
14.844		-200.8		98.9		0.02		3.69		3.68		0.01		1.216		-109.2		
14.941		-201.6		95.0		0.02		3.69		3.68		0.01		1.176		-112.2		
15.039		-201.2		89.3		0.02		3.69		3.68		0.01		1.176		-117.4		
15.137		-204.7		85.3		0.02		3.69		3.68		0.02		1.163		-119.6		
15.234		-202.5		82.7		0.02		3.69		3.68		0.01		1.149		-120.9		
15.332		-202.5		78.3		0.02		3.69		3.68		0.02		1.119		-131.3		
15.430		-202.9		72.6		0.02		3.69		3.68		0.02		1.091		-128.7		
15.527		-200.8		70.9		0.02		3.71		3.68		0.01		1.064		-133.5		
15.625		-199.0		67.4		0.02		3.68		3.68		0.01		1.056		-138.7		
15.723		-197.7		60.0		0.02		3.69		3.68		0.02		1.030		-143.0		
15.820		-194.7		54.3		0.02		3.69		3.68		0.01		0.988		-144.7		
15.918		-195.6		47.3		0.02		3.69		3.68		0.02		0.967		-147.8		
16.016		-189.5		45.1		0.02		3.69		3.68		0.01		0.922		-151.2		
16.113		-187.8		36.8		0.02		3.69		3.68		0.02		0.871		-156.9		
16.211		-184.3		28.0		0.02		3.68		3.68		0.01		0.838		-160.8		
16.309		-180.8		20.6		0.02		3.69		3.68		0.01		0.772		-163.8		
16.406		-179.9		16.2		0.02		3.69		3.68		0.02		0.711		-165.1		
16.504		-173.4		8.3		0.02		3.68		3.68		0.01		0.656		-167.3		
16.602		-162.6		-15.3		0.02		0.02		3.68		3.69		0.616		-137.4		
16.699		-145.7		-24.9		0.02		0.02		3.68		3.68		0.715		-29.0		
16.797		-156.5		-23.2		0.01		0.02		3.68		3.68		0.810		-27.3		
16.895		-150.0		-31.9		0.02		0.02		3.68		3.68		0.895		-39.4		
16.992		-147.4		-36.8		0.01		0.02		3.68		3.68		0.948		-47.2		
17.090		-139.6		-45.1		0.01		0.02		3.68		3.68		0.992		-51.1		
17.188		-137.0		-50.3		0.01		0.02		3.68		3.68		1.030		-57.2		
