Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
22.656		144.0		-186.4		0.02		0.02		0.02		0.02		0.726		46.1		
22.754		146.6		-181.2		0.02		0.02		0.02		0.02		0.717		45.3		
22.852		150.5		-181.2		0.02		0.02		0.02		0.02		0.711		44.2		
22.949		156.5		-177.2		0.02		0.02		0.02		0.02		0.679		42.7		
23.047		158.7		-175.9		0.02		0.02		0.02		0.02		0.647		41.0		
23.145		160.0		-172.4		0.02		0.02		0.02		0.01		0.605		39.3		
23.242		164.3		-170.7		0.02		0.02		0.02		0.02		0.588		37.0		
23.340		166.9		-162.8		0.02		0.02		0.02		0.02		0.554		34.7		
23.438		173.9		-162.8		0.02		0.02		0.02		0.02		0.512		31.7		
23.535		171.7		-156.7		0.02		0.02		0.02		0.02		0.467		29.1		
23.633		179.1		-151.9		0.02		0.02		0.02		0.01		0.400		25.8		
23.730		177.8		-146.6		0.02		0.02		0.02		0.02		0.360		22.7		
23.828		183.4		-140.5		0.02		0.02		0.02		0.02		0.300		19.0		
23.926		185.1		-140.0		0.02		0.02		0.02		0.02		0.254		15.6		
24.023		181.7		-136.1		0.02		0.02		0.02		0.02		0.190		12.1		
24.121		186.9		-132.6		0.02		0.02		0.02		0.02		0.140		8.5		
24.219		185.6		-130.4		0.02		0.02		0.02		0.02		0.074		5.0		
24.316		186.9		-127.4		0.02		0.02		0.02		0.02		0.011		1.2		
24.414		189.9		-116.4		3.69		0.02		0.01		0.02		0.082		5.9		
24.512		188.6		-111.2		3.69		0.02		0.01		0.02		0.195		11.8		
24.609		190.8		-106.3		3.69		0.02		0.01		0.02		0.281		17.4		
24.707		189.5		-104.2		3.69		0.02		0.01		0.02		0.351		22.2		
24.805		192.1		-101.1		3.69		0.02		0.01		0.02		0.423		26.2		
24.902		190.4		-97.6		3.69		0.02		0.01		0.02		0.480		30.1		
25.000		190.4		-91.9		3.68		0.02		0.01		0.02		0.529		33.0		
25.098		193.0		-90.2		3.69		0.02		0.01		0.02		0.580		35.9		
25.195		194.7		-81.0		3.68		0.02		0.01		0.02		0.607		38.3		
25.293		190.8		-77.5		3.69		0.02		0.01		0.02		0.649		40.1		
25.391		192.1		-74.8		3.69		0.02		0.01		0.02		0.664		41.8		
25.488		194.3		-70.9		3.68		0.02		0.01		0.02		0.685		43.0		
25.586		192.1		-67.4		3.68		0.02		0.01		0.02		0.713		44.2		
25.684		189.9		-62.1		3.69		0.02		0.01		0.02		0.713		44.7		
25.781		190.4		-56.9		3.69		0.02		0.01		0.02		0.715		45.2		
25.879		186.0		-52.1		3.68		0.02		0.01		0.02		0.707		45.3		
25.977		186.0		-41.6		3.69		0.02		0.01		0.02		0.709		44.9		
26.074		180.8		-37.2		3.69		0.02		0.02		0.02		0.704		44.1		
26.172		183.8		-30.2		3.68		0.02		0.01		0.02		0.698		43.2		
26.270		178.6		-23.2		3.69		0.02		0.01		0.02		0.677		41.7		
26.367		176.5		-16.6		3.69		0.02		0.01		0.02		0.637		40.3		
26.465		173.4		-9.2		3.69		0.02		0.02		0.02		0.609		38.2		
26.563		171.7		-3.5		3.69		0.03		0.02		0.02		0.571		35.9		
26.660		166.1		3.5		3.69		0.03		0.01		0.02		0.544		33.6		
26.758		160.9		10.1		3.69		0.03		0.01		0.02		0.495		31.1		
26.855		159.1		18.4		3.69		0.03		0.02		0.02		0.446		28.2		
26.953		153.1		28.4		3.69		0.03		0.02		0.02		0.396		25.3		
27.051		150.0		31.9		3.69		0.02		0.02		0.02		0.345		21.8		
27.148		144.0		37.6		3.69		0.03		0.02		0.02		0.294		18.6		
27.246		140.1		42.0		3.69		0.02		0.02		0.02		0.245		15.5		
27.344		138.8		49.0		3.69		0.03		0.01		0.02		0.195		11.6		
27.441		134.4		52.1		3.69		0.03		0.02		0.02		0.118		8.4		
27.539		129.6		60.4		3.69		0.03		0.02		0.02		0.082		4.9		
27.637		126.6		62.6		3.69		0.02		0.01		0.02		0.019		0.6		
27.734		115.3		70.5		3.69		3.70		0.02		0.02		0.068		3.1		
27.832		113.6		81.0		3.69		3.69		0.02		0.01		0.173		10.9		
27.930		112.7		82.7		3.69		3.70		0.02		0.02		0.271		16.5		
28.027		108.0		88.0		3.69		3.69		0.01		0.02		0.336		21.5		
28.125		103.2		92.8		3.69		3.69		0.01		0.01		0.408		25.8		
28.223		98.0		95.4		3.69		3.69		0.01		0.01		0.470		29.8		
28.320		94.1		95.8		3.69		3.69		0.02		0.02		0.525		32.5		
28.418		90.6		106.8		3.69		3.69		0.01		0.02		0.567		35.4		
28.516		86.3		109.0		3.69		3.69		0.01		0.01		0.616		38.4		
28.613		81.5		116.0		3.69		3.69		0.01		0.01		0.649		40.3		
28.711		75.9		118.2		3.69		3.69		0.01		0.01		0.664		42.1		
28.809		75.4		122.1		3.69		3.69		0.01		0.02		0.692		43.6		
28.906		71.1		124.3		3.69		3.69		0.01		0.01		0.719		44.7		
29.004		65.0		128.7		3.69		3.69		0.01		0.01		0.723		45.5		
29.102		59.8		131.3		3.69		3.69		0.01		0.02		0.740		46.4		
29.199		54.6		137.9		3.69		3.69		0.01		0.01		0.745		46.7		
29.297		46.4		138.7		3.69		3.69		0.01		0.01		0.740		46.3		
29.395		40.3		144.9		3.69		3.69		0.01		0.01		0.732		46.0		
29.492		31.2		151.9		3.69		3.69		0.01		0.01		0.707		44.8		
29.590		26.4		156.7		3.69		3.69		0.01		0.01		0.677		43.2		
29.688		19.5		157.5		3.68		3.69		0.01		0.01		0.660		41.9		
29.785		12.6		162.4		3.69		3.69		0.01		0.02		0.643		40.0		
29.883		5.6		165.4		3.69		3.69		0.01		0.01		0.592		37.9		
29.980		1.3		169.8		3.69		3.69		0.01		0.01		0.569		35.6		
30.078		-7.4		168.1		3.69		3.69		0.01		0.01		0.527		33.0		
30.176		-16.0		173.7		3.69		3.69		0.02		0.02		0.482		30.2		
30.273		-22.5		179.9		3.69		3.69		0.01		0.02		0.427		26.9		
30.371		-31.7		176.8		3.69		3.69		0.01		0.01		0.385		24.0		
30.469		-36.0		180.7		3.69		3.69		0.02		0.02		0.332		20.5		
30.566		-43.4		183.8		3.69		3.69		0.01		0.01		0.264		16.8		
30.664		-46.0		182.1		3.69		3.69		0.01		0.01		0.205		13.4		
30.762		-53.3		184.2		3.69		3.69		0.01		0.01		0.150		10.0		
30.859		-57.2		187.3		3.69		3.69		0.02		0.01		0.108		6.5		
30.957		-60.7		187.7		3.69		3.69		0.01		0.01		0.042		2.7		
31.055		-72.4		182.5		0.02		3.69		3.69		0.01		0.074		4.9		
31.152		-78.0		189.1		0.02		3.69		3.68		0.02		0.178		10.9		
31.250		-82.0		192.1		0.02		3.69		3.69		0.01		0.264		16.7		
31.348		-86.3		194.3		0.02		3.69		3.69		0.01		0.336		21.5		
31.445		-89.3		192.6		0.02		3.69		3.68		0.01		0.425		25.9		
31.543		-97.1		193.9		0.02		3.69		3.68		0.01		0.474		29.6		
31.641		-96.7		189.9		0.02		3.69		3.68		0.02		0.520		32.9		
31.738		-102.8		189.1		0.02		3.69		3.69		0.01		0.580		36.0		
31.836		-108.4		192.6		0.02		3.69		3.68		0.01		0.607		38.2		
31.934		-113.6		195.2		0.02		3.69		3.68		0.02		0.641		40.5		
32.031		-115.8		192.1		0.02		3.69		3.68		0.02		0.690		42.1		
32.129		-118.8		192.6		0.02		3.69		3.68		0.01		0.698		43.6		
32.227		-125.3		190.4		0.02		3.69		3.68		0.02		0.707		44.7		
32.324		-127.5		192.6		0.02		3.69		3.68		0.01		0.707		45.4		
32.422		-132.2		192.1		0.02		3.69		3.68		0.02		0.717		45.4		
32.520		-140.1		186.4		0.02		3.69		3.69		0.02		0.736		46.0		
32.617		-140.9		184.7		0.02		3.69		3.68		0.01		0.721		45.8		
32.715		-142.7		182.1		0.02		3.69		3.68		0.01		0.719		45.1		
32.813		-149.2		181.6		0.02		3.69		3.68		0.02		0.704		44.3		
32.910		-152.2		178.1		0.02		3.69		3.68		0.02		0.679		42.8		
33.008		-158.7		176.4		0.02		3.69		3.68		0.01		0.658		41.3		
33.105		-161.7		172.4		0.02		3.69		3.68		0.02		0.626		39.6		
33.203		-165.6		168.9		0.02		3.69		3.68		0.02		0.573		37.1		
33.301		-166.1		163.7		0.02		3.69		3.68		0.02		0.554		34.9		
33.398		-172.6		161.5		0.02		3.69		3.68		0.01		0.506		32.1		
33.496		-173.0		159.3		0.02		3.69		3.68		0.02		0.465		29.2		
33.594		-176.0		153.6		0.02		3.69		3.68		0.02		0.425		26.5		
33.691		-180.8		149.7		0.02		3.69		3.68		0.01		0.368		23.3		
33.789		-179.1		146.6		0.02		3.69		3.69		0.01		0.315		19.8		
33.887		-185.6		142.7		0.02		3.69		3.68		0.02		0.260		16.6		
33.984		-183.0		137.0		0.02		3.69		3.68		0.01		0.203		13.3		
34.082		-186.9		135.7		0.02		3.69		3.69		0.02		0.163		9.6		
34.180		-187.3		127.4		0.02		3.69		3.68		0.02		0.093		5.9		
34.277		-188.6		126.0		0.02		3.69		3.68		0.01		0.025		2.3		
34.375		-200.3		125.2		0.02		0.03		3.69		3.69		0.044		-0.8		
34.473		-191.2		114.7		0.02		0.03		3.69		3.69		0.159		9.6		
34.570		-193.0		108.1		0.02		0.03		3.69		3.69		0.250		15.4		
34.668		-191.2		103.7		0.02		0.02		3.69		3.69		0.328		20.0		
34.766		-193.4		99.3		0.02		0.02		3.68		3.69		0.393		24.6		
